revol_bal,home_ownership,verification_status,emp_length,dti,annual_inc,output
5626,MORTGAGE,Not Verified,10,18.5,101000.0,Non-Defaulters
2944,MORTGAGE,Not Verified,,4.0,38970.81,Non-Defaulters
28639,MORTGAGE,Source Verified,2,16.65,107000.0,Defaulters
11675,MORTGAGE,Source Verified,10,9.54,55000.0,Non-Defaulters
28454,MORTGAGE,Verified,6,3.74,207000.0,Non-Defaulters
7332,RENT,Not Verified,10,6.44,33000.0,Non-Defaulters
4240,RENT,Not Verified,7,20.68,34000.0,Non-Defaulters
6508,RENT,Not Verified,1,12.4,36000.0,Non-Defaulters
3947,MORTGAGE,Source Verified,10,9.9,40000.0,Non-Defaulters
11717,RENT,Verified,1,21.21,90000.0,Non-Defaulters
12296,MORTGAGE,Source Verified,2,14.81,106000.0,Non-Defaulters
11270,RENT,Not Verified,3,18.42,50500.0,Non-Defaulters
7638,RENT,Verified,8,16.67,27000.0,Non-Defaulters
4400,RENT,Source Verified,10,11.32,51000.0,Non-Defaulters
9509,MORTGAGE,Source Verified,10,29.74,80000.0,Non-Defaulters
17436,OWN,Not Verified,2,20.93,50004.0,Non-Defaulters
15937,RENT,Source Verified,2,9.08,48000.0,Non-Defaulters
14020,MORTGAGE,Verified,8,13.87,260000.0,Defaulters
17063,MORTGAGE,Source Verified,10,16.84,93156.0,Non-Defaulters
13266,RENT,Not Verified,2,7.67,145000.0,Defaulters
7335,RENT,Not Verified,4,20.38,55044.0,Non-Defaulters
25740,MORTGAGE,Not Verified,10,9.77,100000.0,Non-Defaulters
25438,MORTGAGE,Verified,10,23.82,80000.0,Non-Defaulters
26331,RENT,Not Verified,7,8.94,85000.0,Non-Defaulters
16788,MORTGAGE,Source Verified,1,18.75,84000.0,Defaulters
37986,MORTGAGE,Not Verified,10,28.62,104000.0,Non-Defaulters
7315,RENT,Verified,2,6.1,50000.0,Non-Defaulters
12619,MORTGAGE,Not Verified,10,8.58,60000.0,Non-Defaulters
5647,MORTGAGE,Not Verified,10,20.9,43000.0,Non-Defaulters
4640,RENT,Source Verified,4,14.8,30000.0,Non-Defaulters
4217,MORTGAGE,Not Verified,10,4.37,78000.0,Non-Defaulters
22457,MORTGAGE,Verified,6,24.73,72000.0,Non-Defaulters
16976,RENT,Not Verified,3,14.11,42000.0,Non-Defaulters
17799,RENT,Source Verified,1,17.0,60000.0,Defaulters
3650,RENT,Verified,3,29.46,60000.0,Defaulters
26517,MORTGAGE,Source Verified,10,13.24,110000.0,Non-Defaulters
11847,RENT,Source Verified,1,8.59,62000.0,Non-Defaulters
16989,MORTGAGE,Source Verified,2,27.78,60000.0,Defaulters
1877,MORTGAGE,Not Verified,10,10.86,96181.0,Non-Defaulters
9833,MORTGAGE,Source Verified,6,18.8,65000.0,Defaulters
4675,MORTGAGE,Verified,10,14.43,120000.0,Non-Defaulters
14378,MORTGAGE,Not Verified,6,19.33,64000.0,Non-Defaulters
5271,RENT,Source Verified,2,5.2,40000.0,Non-Defaulters
6502,MORTGAGE,Source Verified,7,10.1,55000.0,Non-Defaulters
17442,MORTGAGE,Source Verified,8,32.72,50000.0,Non-Defaulters
3855,MORTGAGE,Verified,4,19.22,69000.0,Non-Defaulters
9042,RENT,Not Verified,1,31.21,44000.0,Non-Defaulters
32377,MORTGAGE,Source Verified,9,10.17,110000.0,Non-Defaulters
30470,MORTGAGE,Source Verified,5,12.65,81000.0,Non-Defaulters
12770,OWN,Verified,10,18.24,107000.0,Non-Defaulters
8019,MORTGAGE,Not Verified,7,18.04,85000.0,Non-Defaulters
58780,MORTGAGE,Not Verified,5,22.03,90000.0,Non-Defaulters
17095,MORTGAGE,Not Verified,3,18.15,92000.0,Non-Defaulters
1750,OWN,Verified,6,1.56,60000.0,Non-Defaulters
6005,OWN,Source Verified,5,22.05,40000.0,Non-Defaulters
28124,MORTGAGE,Source Verified,10,19.0,78000.0,Non-Defaulters
25706,MORTGAGE,Source Verified,5,20.3,56000.0,Non-Defaulters
6223,RENT,Not Verified,10,20.22,33000.0,Non-Defaulters
18392,MORTGAGE,Not Verified,8,20.43,72500.0,Non-Defaulters
3527,RENT,Not Verified,2,24.7,36000.0,Non-Defaulters
100,RENT,Verified,4,0.63,48000.0,Non-Defaulters
6995,OWN,Source Verified,10,24.92,55000.0,Non-Defaulters
7529,RENT,Not Verified,1,23.73,40000.0,Non-Defaulters
8416,RENT,Not Verified,10,13.65,24000.0,Defaulters
13782,OWN,Source Verified,10,7.03,124000.0,Non-Defaulters
10350,MORTGAGE,Not Verified,10,10.44,70000.0,Non-Defaulters
9461,MORTGAGE,Verified,10,11.67,65500.0,Defaulters
11369,RENT,Source Verified,1,9.11,34000.0,Non-Defaulters
18456,MORTGAGE,Verified,10,23.42,72000.0,Non-Defaulters
20573,RENT,Not Verified,5,15.71,55000.0,Defaulters
18536,MORTGAGE,Source Verified,4,13.19,115000.0,Non-Defaulters
38783,RENT,Verified,6,22.63,70000.0,Non-Defaulters
21583,RENT,Verified,3,25.1,48000.0,Non-Defaulters
12994,MORTGAGE,Verified,1,19.59,40000.0,Non-Defaulters
14401,MORTGAGE,Not Verified,10,2.86,112000.0,Non-Defaulters
17631,RENT,Not Verified,6,19.7,43800.0,Defaulters
9928,RENT,Not Verified,5,11.35,29600.0,Non-Defaulters
0,RENT,Verified,2,18.36,59005.0,Non-Defaulters
10107,RENT,Not Verified,10,15.76,52000.0,Defaulters
37443,MORTGAGE,Verified,10,16.61,100000.0,Non-Defaulters
19761,RENT,Source Verified,10,10.87,89000.0,Non-Defaulters
81076,MORTGAGE,Verified,10,18.64,110000.0,Non-Defaulters
2984,RENT,Source Verified,1,5.4,30000.0,Non-Defaulters
9764,RENT,Source Verified,10,6.77,36000.0,Non-Defaulters
6245,MORTGAGE,Not Verified,3,5.38,43680.0,Non-Defaulters
11479,MORTGAGE,Verified,3,13.38,60000.0,Defaulters
7051,RENT,Verified,10,24.87,61000.0,Defaulters
58663,MORTGAGE,Verified,6,13.57,101000.0,Non-Defaulters
61213,MORTGAGE,Verified,10,11.23,89000.0,Non-Defaulters
259710,MORTGAGE,Source Verified,2,29.27,55000.0,Non-Defaulters
8048,RENT,Not Verified,10,15.17,28000.0,Non-Defaulters
7701,RENT,Verified,6,14.06,53500.0,Non-Defaulters
5535,MORTGAGE,Not Verified,2,13.28,80000.0,Non-Defaulters
4531,RENT,Not Verified,6,18.06,42000.0,Non-Defaulters
12322,RENT,Source Verified,6,1.43,400000.0,Non-Defaulters
3520,MORTGAGE,Source Verified,3,25.99,52000.0,Non-Defaulters
6421,MORTGAGE,Source Verified,10,12.46,65000.0,Defaulters
3669,MORTGAGE,Verified,6,7.9,62000.0,Non-Defaulters
11420,RENT,Not Verified,5,10.69,105000.0,Non-Defaulters
14096,MORTGAGE,Verified,4,31.2,47000.0,Non-Defaulters
2891,MORTGAGE,Verified,10,1.14,80000.0,Non-Defaulters
7406,OWN,Verified,,17.46,51000.0,Non-Defaulters
4108,MORTGAGE,Not Verified,9,18.2,65000.0,Non-Defaulters
4078,RENT,Source Verified,6,21.49,42000.0,Non-Defaulters
25065,MORTGAGE,Source Verified,1,17.52,66300.0,Defaulters
28382,MORTGAGE,Not Verified,1,24.67,80000.0,Non-Defaulters
6867,RENT,Verified,10,9.59,90000.0,Non-Defaulters
42153,MORTGAGE,Verified,10,14.47,75400.0,Non-Defaulters
24689,MORTGAGE,Verified,10,17.61,52000.0,Non-Defaulters
7951,RENT,Source Verified,10,20.5,25000.0,Non-Defaulters
34133,MORTGAGE,Verified,10,22.42,150000.0,Non-Defaulters
5436,RENT,Verified,10,13.15,24000.0,Non-Defaulters
8994,MORTGAGE,Verified,,21.91,55000.0,Non-Defaulters
1334,RENT,Not Verified,5,21.73,83000.0,Non-Defaulters
5356,MORTGAGE,Not Verified,1,11.5,81000.0,Non-Defaulters
55450,OWN,Verified,9,27.02,60000.0,Non-Defaulters
29264,MORTGAGE,Verified,1,21.37,95000.0,Non-Defaulters
26317,RENT,Verified,2,11.28,90000.0,Non-Defaulters
22585,RENT,Source Verified,10,12.9,77890.0,Non-Defaulters
5103,RENT,Not Verified,1,26.36,32000.0,Non-Defaulters
3141,MORTGAGE,Source Verified,1,18.35,45000.0,Non-Defaulters
15151,MORTGAGE,Source Verified,2,34.26,34000.0,Non-Defaulters
2708,MORTGAGE,Not Verified,7,17.19,56000.0,Defaulters
7772,MORTGAGE,Verified,7,13.22,58000.0,Non-Defaulters
17942,RENT,Verified,1,1.33,405000.0,Non-Defaulters
12031,OWN,Source Verified,10,28.43,64000.0,Non-Defaulters
24473,RENT,Verified,6,11.63,90000.0,Defaulters
7579,MORTGAGE,Verified,1,16.38,80000.0,Non-Defaulters
55708,MORTGAGE,Verified,10,20.47,55000.0,Defaulters
6655,MORTGAGE,Verified,8,21.83,132000.0,Non-Defaulters
10890,RENT,Not Verified,2,19.78,40000.0,Non-Defaulters
118179,MORTGAGE,Verified,1,37.32,60000.0,Non-Defaulters
26192,RENT,Source Verified,4,16.4,75000.0,Non-Defaulters
2564,MORTGAGE,Not Verified,6,9.49,65000.0,Non-Defaulters
9288,MORTGAGE,Verified,10,23.42,66000.0,Non-Defaulters
19708,MORTGAGE,Source Verified,1,18.25,120000.0,Non-Defaulters
12539,RENT,Not Verified,3,22.85,100000.0,Non-Defaulters
29118,MORTGAGE,Verified,1,21.88,48100.0,Defaulters
9991,RENT,Not Verified,1,19.7,50980.0,Defaulters
2514,RENT,Not Verified,7,18.35,35000.0,Non-Defaulters
2126,MORTGAGE,Verified,2,22.03,50000.0,Non-Defaulters
21215,MORTGAGE,Verified,10,10.09,97000.0,Non-Defaulters
8001,MORTGAGE,Verified,1,8.33,50000.0,Non-Defaulters
9119,RENT,Verified,2,12.08,87000.0,Non-Defaulters
9918,RENT,Source Verified,1,14.91,98000.0,Non-Defaulters
4798,RENT,Not Verified,10,17.51,32000.0,Non-Defaulters
56964,MORTGAGE,Not Verified,7,21.9,80000.0,Non-Defaulters
9472,OWN,Source Verified,1,9.39,40000.0,Non-Defaulters
10879,MORTGAGE,Not Verified,5,20.8,100000.0,Non-Defaulters
16377,OWN,Source Verified,1,23.1,60000.0,Defaulters
2815,RENT,Not Verified,5,16.17,40000.0,Non-Defaulters
10901,MORTGAGE,Source Verified,5,26.83,29120.0,Defaulters
670,RENT,Source Verified,2,20.58,60000.0,Non-Defaulters
4056,MORTGAGE,Not Verified,10,1.68,75000.0,Non-Defaulters
5694,RENT,Verified,4,17.11,63752.0,Non-Defaulters
26557,RENT,Not Verified,1,27.03,42000.0,Defaulters
15538,RENT,Verified,10,38.18,70000.0,Non-Defaulters
7106,MORTGAGE,Not Verified,4,14.84,30000.0,Non-Defaulters
3053,RENT,Not Verified,10,18.87,42000.0,Non-Defaulters
5326,MORTGAGE,Not Verified,5,2.54,90000.0,Defaulters
22212,MORTGAGE,Verified,,17.71,82000.0,Non-Defaulters
4411,RENT,Not Verified,1,19.88,30000.0,Defaulters
430,RENT,Not Verified,2,17.55,77500.0,Non-Defaulters
26390,MORTGAGE,Verified,10,31.22,62500.0,Non-Defaulters
725,MORTGAGE,Not Verified,7,0.36,180000.0,Non-Defaulters
5808,RENT,Not Verified,4,14.6,30000.0,Non-Defaulters
10265,OWN,Source Verified,3,23.72,45000.0,Non-Defaulters
77963,MORTGAGE,Verified,10,18.44,100000.0,Non-Defaulters
11877,MORTGAGE,Verified,1,23.88,52000.0,Defaulters
19418,OWN,Verified,10,12.12,60000.0,Non-Defaulters
5309,MORTGAGE,Source Verified,3,18.5,65000.0,Non-Defaulters
16891,MORTGAGE,Not Verified,10,5.52,72003.0,Non-Defaulters
6687,RENT,Not Verified,3,9.96,70000.0,Non-Defaulters
17118,MORTGAGE,Not Verified,10,12.57,70000.0,Non-Defaulters
6962,MORTGAGE,Source Verified,2,9.24,32000.0,Non-Defaulters
4921,RENT,Source Verified,3,15.44,41496.0,Defaulters
13619,OWN,Source Verified,1,13.49,78000.0,Non-Defaulters
20776,MORTGAGE,Source Verified,2,13.45,80000.0,Non-Defaulters
22309,MORTGAGE,Not Verified,2,26.42,31200.0,Defaulters
10862,RENT,Not Verified,1,12.82,35000.0,Non-Defaulters
21408,RENT,Source Verified,2,16.14,45000.0,Defaulters
204593,MORTGAGE,Not Verified,10,31.03,83000.0,Non-Defaulters
2890,RENT,Not Verified,7,9.69,64000.0,Non-Defaulters
143499,MORTGAGE,Not Verified,10,19.25,154000.0,Non-Defaulters
6639,OWN,Verified,1,24.23,20000.0,Defaulters
3117,MORTGAGE,Verified,2,2.53,55000.0,Defaulters
10746,RENT,Verified,10,11.91,40000.0,Non-Defaulters
21393,OWN,Source Verified,6,21.95,65000.0,Non-Defaulters
22370,RENT,Not Verified,4,19.77,48000.0,Non-Defaulters
5009,MORTGAGE,Verified,10,23.97,35000.0,Non-Defaulters
5757,MORTGAGE,Source Verified,4,10.54,104400.0,Non-Defaulters
32907,MORTGAGE,Not Verified,,5.84,125000.0,Non-Defaulters
31827,MORTGAGE,Verified,2,24.06,94000.0,Non-Defaulters
17059,MORTGAGE,Verified,10,29.28,60000.0,Non-Defaulters
16577,RENT,Verified,10,12.72,100000.0,Defaulters
11863,MORTGAGE,Not Verified,8,21.87,58000.0,Non-Defaulters
8270,RENT,Verified,10,21.18,80000.0,Defaulters
18402,MORTGAGE,Verified,,26.61,47000.0,Non-Defaulters
15299,RENT,Source Verified,10,29.71,70000.0,Non-Defaulters
9562,RENT,Source Verified,1,10.47,35000.0,Non-Defaulters
26661,MORTGAGE,Not Verified,10,19.5,52000.0,Non-Defaulters
19509,OWN,Verified,2,17.95,51000.0,Non-Defaulters
8863,RENT,Not Verified,7,29.71,32000.0,Non-Defaulters
7849,MORTGAGE,Not Verified,1,18.67,75000.0,Non-Defaulters
7408,RENT,Not Verified,5,17.55,25500.0,Non-Defaulters
20658,OWN,Verified,1,27.6,63000.0,Non-Defaulters
30265,MORTGAGE,Not Verified,10,9.9,147000.0,Non-Defaulters
6544,MORTGAGE,Source Verified,10,11.46,73500.0,Non-Defaulters
13551,MORTGAGE,Verified,1,22.69,87360.0,Non-Defaulters
5981,OWN,Verified,,14.74,42000.0,Non-Defaulters
8797,RENT,Source Verified,10,16.13,100000.0,Non-Defaulters
15116,MORTGAGE,Verified,6,20.93,73000.0,Non-Defaulters
776,OWN,Verified,10,13.34,118000.0,Non-Defaulters
16992,MORTGAGE,Verified,1,12.69,50960.0,Defaulters
8451,OWN,Not Verified,1,9.96,60000.0,Non-Defaulters
60267,RENT,Verified,1,22.71,40000.0,Non-Defaulters
13310,MORTGAGE,Verified,6,12.77,72000.0,Defaulters
17209,MORTGAGE,Source Verified,1,8.39,52000.0,Non-Defaulters
37680,MORTGAGE,Source Verified,10,12.31,94000.0,Defaulters
7901,RENT,Source Verified,10,14.15,62000.0,Defaulters
1378,RENT,Source Verified,1,14.68,34000.0,Non-Defaulters
15426,RENT,Verified,7,17.21,71000.0,Non-Defaulters
10395,RENT,Source Verified,9,10.08,30000.0,Non-Defaulters
7172,RENT,Not Verified,5,4.04,96000.0,Defaulters
14591,RENT,Verified,10,28.29,42000.0,Non-Defaulters
4644,RENT,Source Verified,2,4.24,77490.0,Non-Defaulters
94533,MORTGAGE,Verified,4,17.53,170000.0,Non-Defaulters
14914,RENT,Not Verified,1,15.96,67400.0,Defaulters
11885,MORTGAGE,Verified,,14.63,34536.0,Non-Defaulters
13307,RENT,Not Verified,1,7.64,60000.0,Defaulters
13003,OWN,Verified,1,10.24,43007.0,Non-Defaulters
10582,MORTGAGE,Not Verified,10,22.05,56000.0,Non-Defaulters
7474,MORTGAGE,Source Verified,,13.71,42000.0,Defaulters
5761,RENT,Not Verified,2,6.38,35000.0,Defaulters
6387,RENT,Source Verified,9,12.07,52000.0,Non-Defaulters
11092,MORTGAGE,Source Verified,9,19.31,105000.0,Non-Defaulters
12080,RENT,Source Verified,10,14.97,28289.0,Non-Defaulters
33205,MORTGAGE,Not Verified,2,19.2,106000.0,Non-Defaulters
5505,RENT,Verified,10,3.36,85000.0,Non-Defaulters
15974,MORTGAGE,Not Verified,10,32.91,55000.0,Non-Defaulters
5277,OWN,Not Verified,2,11.72,43000.0,Non-Defaulters
9475,MORTGAGE,Source Verified,,18.67,102000.0,Non-Defaulters
12044,MORTGAGE,Verified,10,12.53,90000.0,Non-Defaulters
14716,MORTGAGE,Verified,10,14.44,120000.0,Non-Defaulters
4539,RENT,Not Verified,10,18.29,70000.0,Non-Defaulters
5747,RENT,Source Verified,2,26.44,58000.0,Non-Defaulters
18850,MORTGAGE,Verified,10,13.6,127500.0,Non-Defaulters
7097,RENT,Not Verified,6,8.85,104000.0,Non-Defaulters
7613,MORTGAGE,Not Verified,10,4.54,55000.0,Defaulters
5034,RENT,Verified,5,15.58,72000.0,Non-Defaulters
15230,MORTGAGE,Source Verified,5,17.27,31000.0,Non-Defaulters
12174,MORTGAGE,Source Verified,3,19.88,115000.0,Non-Defaulters
10255,MORTGAGE,Verified,3,22.07,27996.0,Non-Defaulters
9226,RENT,Verified,9,24.93,35000.0,Non-Defaulters
4158,RENT,Not Verified,8,19.18,55000.0,Defaulters
4627,MORTGAGE,Not Verified,2,14.52,52000.0,Non-Defaulters
4598,RENT,Not Verified,2,5.11,51000.0,Non-Defaulters
1196,RENT,Verified,1,23.35,20400.0,Non-Defaulters
9373,RENT,Not Verified,7,22.2,38000.0,Defaulters
18131,MORTGAGE,Not Verified,6,16.1,115000.0,Non-Defaulters
8870,RENT,Verified,7,7.39,75000.0,Non-Defaulters
22716,MORTGAGE,Source Verified,7,21.83,122000.0,Non-Defaulters
11876,OWN,Verified,10,9.48,52000.0,Non-Defaulters
19701,MORTGAGE,Verified,1,12.65,140000.0,Non-Defaulters
6413,MORTGAGE,Not Verified,10,9.45,55000.0,Non-Defaulters
19570,RENT,Verified,5,19.38,108000.0,Non-Defaulters
8951,RENT,Source Verified,6,17.59,57000.0,Non-Defaulters
5483,RENT,Source Verified,4,6.48,25000.0,Non-Defaulters
8059,MORTGAGE,Verified,1,18.99,104000.0,Non-Defaulters
27093,RENT,Source Verified,5,10.76,80000.0,Non-Defaulters
3323,MORTGAGE,Not Verified,9,6.38,32000.0,Defaulters
8748,RENT,Source Verified,3,26.28,50000.0,Defaulters
23474,RENT,Source Verified,1,12.78,120000.0,Non-Defaulters
233769,MORTGAGE,Verified,1,18.37,210000.0,Non-Defaulters
21823,RENT,Source Verified,5,21.01,106500.0,Non-Defaulters
30340,MORTGAGE,Verified,10,14.48,99600.0,Non-Defaulters
13783,MORTGAGE,Source Verified,7,14.5,86000.0,Non-Defaulters
5674,RENT,Source Verified,5,15.97,39750.0,Non-Defaulters
21106,RENT,Not Verified,3,20.33,35000.0,Defaulters
20066,RENT,Verified,3,13.86,86000.0,Non-Defaulters
22810,MORTGAGE,Verified,6,24.19,65000.0,Defaulters
18181,MORTGAGE,Verified,10,21.36,69000.0,Non-Defaulters
2519,RENT,Verified,4,2.83,42000.0,Non-Defaulters
13857,MORTGAGE,Not Verified,1,23.48,37000.0,Defaulters
25144,MORTGAGE,Verified,10,18.19,122000.0,Non-Defaulters
26827,RENT,Source Verified,2,30.68,64000.0,Non-Defaulters
9968,OWN,Not Verified,3,22.3,31000.0,Non-Defaulters
2153,MORTGAGE,Not Verified,8,0.67,90000.0,Non-Defaulters
15327,MORTGAGE,Not Verified,10,23.26,39000.0,Non-Defaulters
10224,MORTGAGE,Verified,10,19.32,60000.0,Non-Defaulters
5325,RENT,Not Verified,2,16.44,30000.0,Non-Defaulters
5928,RENT,Source Verified,3,13.05,90000.0,Non-Defaulters
22045,MORTGAGE,Verified,10,20.1,75000.0,Non-Defaulters
3541,MORTGAGE,Verified,10,33.19,70000.0,Non-Defaulters
23251,RENT,Verified,10,25.99,85000.0,Defaulters
11323,MORTGAGE,Source Verified,10,8.85,160000.0,Non-Defaulters
8607,MORTGAGE,Not Verified,10,6.52,125000.0,Non-Defaulters
6374,RENT,Source Verified,7,11.59,56000.0,Non-Defaulters
8844,RENT,Source Verified,1,17.61,100000.0,Non-Defaulters
4188,MORTGAGE,Not Verified,3,19.4,82500.0,Non-Defaulters
19270,RENT,Not Verified,1,19.29,42000.0,Non-Defaulters
2209,OWN,Not Verified,6,9.97,36000.0,Non-Defaulters
1647,OWN,Source Verified,1,12.79,120000.0,Non-Defaulters
2725,RENT,Not Verified,5,18.93,35000.0,Non-Defaulters
24989,RENT,Verified,4,18.03,110000.0,Non-Defaulters
9164,MORTGAGE,Not Verified,3,16.05,45600.0,Non-Defaulters
7270,RENT,Source Verified,10,17.73,26000.0,Defaulters
31852,MORTGAGE,Not Verified,3,7.25,316800.0,Non-Defaulters
24015,MORTGAGE,Verified,10,23.67,40000.0,Non-Defaulters
7613,MORTGAGE,Source Verified,10,21.78,55000.0,Non-Defaulters
10204,MORTGAGE,Source Verified,10,13.42,74600.0,Non-Defaulters
10934,RENT,Verified,9,12.99,35000.0,Defaulters
12789,MORTGAGE,Verified,10,10.25,53760.0,Defaulters
24016,OWN,Verified,5,28.54,32960.0,Non-Defaulters
7605,MORTGAGE,Verified,7,9.07,47000.0,Non-Defaulters
1645,OWN,Source Verified,7,12.34,70000.0,Non-Defaulters
411,MORTGAGE,Not Verified,2,18.82,50000.0,Non-Defaulters
56226,RENT,Source Verified,3,29.0,105000.0,Non-Defaulters
15455,MORTGAGE,Verified,,21.12,67000.0,Non-Defaulters
9537,RENT,Source Verified,1,14.59,20000.0,Defaulters
1180,RENT,Verified,4,16.3,72000.0,Non-Defaulters
2334,MORTGAGE,Verified,,11.19,50000.0,Non-Defaulters
2046,RENT,Not Verified,2,5.08,15600.0,Non-Defaulters
12711,MORTGAGE,Source Verified,10,9.7,200000.0,Non-Defaulters
19974,MORTGAGE,Source Verified,10,8.89,110000.0,Non-Defaulters
33958,MORTGAGE,Verified,4,15.71,104000.0,Non-Defaulters
8561,MORTGAGE,Verified,10,26.07,116000.0,Non-Defaulters
16335,MORTGAGE,Verified,10,13.09,32000.0,Non-Defaulters
89138,MORTGAGE,Verified,10,21.12,149000.0,Non-Defaulters
34133,MORTGAGE,Source Verified,8,11.84,125000.0,Non-Defaulters
20310,MORTGAGE,Verified,10,20.72,65000.0,Non-Defaulters
1034,RENT,Verified,1,15.96,60000.0,Non-Defaulters
8609,RENT,Not Verified,1,9.95,36400.0,Non-Defaulters
6121,RENT,Source Verified,3,9.26,53000.0,Non-Defaulters
17140,MORTGAGE,Verified,10,15.72,116000.0,Defaulters
19887,RENT,Verified,6,16.18,94018.0,Defaulters
24651,MORTGAGE,Verified,4,12.06,42000.0,Non-Defaulters
33412,MORTGAGE,Verified,,18.58,48000.0,Non-Defaulters
21013,MORTGAGE,Verified,4,25.89,50000.0,Defaulters
9509,RENT,Verified,3,12.14,115000.0,Non-Defaulters
5539,MORTGAGE,Source Verified,4,5.32,30000.0,Non-Defaulters
20935,MORTGAGE,Verified,3,16.64,106000.0,Non-Defaulters
1251,RENT,Source Verified,4,13.41,26400.0,Non-Defaulters
764,MORTGAGE,Source Verified,6,10.83,180000.0,Non-Defaulters
44591,MORTGAGE,Verified,10,9.29,200000.0,Non-Defaulters
5464,OWN,Source Verified,3,7.88,60000.0,Non-Defaulters
18744,RENT,Source Verified,7,14.42,53000.0,Non-Defaulters
18416,MORTGAGE,Source Verified,6,19.58,220000.0,Non-Defaulters
31725,RENT,Verified,1,34.42,47000.0,Non-Defaulters
12933,MORTGAGE,Verified,6,20.26,79000.0,Non-Defaulters
22102,MORTGAGE,Verified,10,8.97,110000.0,Defaulters
16907,RENT,Source Verified,10,9.82,70000.0,Non-Defaulters
7524,MORTGAGE,Verified,10,22.29,60000.0,Non-Defaulters
25953,OWN,Verified,,30.71,134000.0,Non-Defaulters
3491,RENT,Not Verified,10,3.83,53000.0,Non-Defaulters
627,MORTGAGE,Source Verified,8,6.56,105969.0,Defaulters
8176,RENT,Source Verified,8,31.09,50000.0,Defaulters
9006,RENT,Verified,9,5.35,50000.0,Non-Defaulters
11108,RENT,Verified,8,11.22,82000.0,Non-Defaulters
28496,RENT,Not Verified,2,14.87,90000.0,Non-Defaulters
11121,RENT,Source Verified,5,19.04,54200.0,Non-Defaulters
200,MORTGAGE,Verified,4,5.47,80000.0,Non-Defaulters
57494,MORTGAGE,Verified,10,22.58,123000.0,Defaulters
18699,RENT,Verified,10,23.9,45000.0,Non-Defaulters
36119,RENT,Source Verified,1,25.22,60000.0,Non-Defaulters
6441,RENT,Verified,1,26.47,70000.0,Defaulters
20196,RENT,Not Verified,2,13.62,40000.0,Non-Defaulters
14217,RENT,Not Verified,1,14.57,72000.0,Non-Defaulters
3677,RENT,Not Verified,8,12.19,38700.0,Non-Defaulters
124225,MORTGAGE,Source Verified,3,8.76,300000.0,Non-Defaulters
14865,MORTGAGE,Verified,7,6.85,65000.0,Defaulters
17,OWN,Verified,3,2.3,25000.0,Non-Defaulters
16467,RENT,Not Verified,4,20.5,35000.0,Non-Defaulters
22556,MORTGAGE,Source Verified,1,9.77,90000.0,Non-Defaulters
7300,MORTGAGE,Not Verified,8,20.95,39000.0,Non-Defaulters
239,RENT,Source Verified,3,14.42,45600.0,Non-Defaulters
10078,MORTGAGE,Source Verified,5,12.23,150000.0,Non-Defaulters
8043,RENT,Not Verified,9,25.09,57000.0,Non-Defaulters
34171,MORTGAGE,Source Verified,2,16.55,115000.0,Non-Defaulters
11878,RENT,Not Verified,10,18.35,67000.0,Non-Defaulters
20874,MORTGAGE,Source Verified,10,24.63,76000.0,Non-Defaulters
38836,MORTGAGE,Source Verified,7,9.86,90000.0,Non-Defaulters
24038,MORTGAGE,Not Verified,10,10.77,70000.0,Non-Defaulters
10149,MORTGAGE,Source Verified,8,16.38,31000.0,Non-Defaulters
9792,MORTGAGE,Not Verified,3,4.89,80000.0,Non-Defaulters
3901,RENT,Source Verified,3,28.24,30000.0,Non-Defaulters
6660,RENT,Source Verified,6,7.54,42000.0,Non-Defaulters
4913,MORTGAGE,Verified,10,6.87,50000.0,Non-Defaulters
20055,MORTGAGE,Verified,10,10.81,68000.0,Non-Defaulters
9383,RENT,Not Verified,3,12.54,49000.0,Non-Defaulters
7867,OWN,Not Verified,1,15.0,30000.0,Non-Defaulters
10438,MORTGAGE,Not Verified,1,13.75,35000.0,Non-Defaulters
14335,MORTGAGE,Verified,7,23.71,102000.0,Non-Defaulters
21436,OWN,Source Verified,9,19.52,78000.0,Defaulters
46713,MORTGAGE,Verified,,35.19,40000.0,Non-Defaulters
8774,MORTGAGE,Verified,,27.56,25000.0,Defaulters
6495,RENT,Source Verified,2,3.65,66000.0,Non-Defaulters
111076,MORTGAGE,Not Verified,7,23.39,171000.0,Non-Defaulters
11674,MORTGAGE,Verified,5,12.88,95000.0,Non-Defaulters
32145,RENT,Source Verified,7,34.2,84000.0,Defaulters
23515,MORTGAGE,Verified,1,5.75,220000.0,Non-Defaulters
5992,RENT,Not Verified,10,12.64,45000.0,Non-Defaulters
29113,MORTGAGE,Source Verified,2,33.15,66763.0,Non-Defaulters
2385,RENT,Verified,7,25.82,78000.0,Defaulters
22324,RENT,Verified,1,18.59,100000.0,Defaulters
8927,RENT,Not Verified,10,11.24,30000.0,Non-Defaulters
18061,MORTGAGE,Source Verified,10,7.19,131004.0,Non-Defaulters
4334,RENT,Not Verified,1,8.56,87500.0,Defaulters
5266,RENT,Not Verified,2,3.4,73000.0,Non-Defaulters
25417,RENT,Verified,1,32.65,84400.0,Non-Defaulters
2674,RENT,Verified,7,19.24,90000.0,Non-Defaulters
6630,RENT,Source Verified,5,24.12,30000.0,Defaulters
2666,OWN,Verified,2,4.06,130000.0,Non-Defaulters
16492,RENT,Verified,4,29.88,45930.0,Non-Defaulters
